water_body_desc,location_code,section
Riffe Lake,Riffe Lake,
Round Lake,Round Lake,
Silver Lake,Silver Lake,
Swift Reservoir,Section #1,
Swift Reservoir,S1,
Swift Reservoir,S3,
Swift Reservoir,S2,
Swift Reservoir,Swift Total,
Swift Reservoir,Swift Forest Camp Ramp,
North Fork Toutle River,Toutle NF Combined,
South Fork Toutle River,SF Toutle - General,
South Fork Toutle River,SFT,
Washougal River,WASH 4,
Washougal River,WASH 2,
Washougal River,Washougal - General,
Washougal River,WASH TIE-IN 2,
Washougal River,WASH 1&2,
Washougal River,WASH TIE-IN 2-2014,
Washougal River,WASH 3,
Washougal River,Washougal combined,
Washougal River,WASH TIE-IN 1-2014,
Washougal River,WASH 2,
Washougal River,Washougal upper,
Washougal River,WASH 1,
Washougal River,WASH TIE-IN 1,
Wind River,Wind combined,
Wind River,Wind - General,
Wind River,Wind mouth,
Wind River,WIND LOWER,
Wind River,WIND UPPER 1,
Wind River,WIND TIE-IN UPPER,
Wind River,WIND UPPER 2,
Wind River,WIND UPPER,
Wind River,Wind upper,
John Day Pool Reservoir,"1st Street, OR",
John Day Pool Reservoir,Section 3 JD,
John Day Pool Reservoir,Section 2 JD,
John Day Pool Reservoir,Section 1 JD,
John Day Pool Reservoir,"McNary Park, OR",
John Day Pool Reservoir,McNary Dam to I-82,
John Day Pool Reservoir,RM 292,
John Day Pool Reservoir,RM 291,
John Day Pool Reservoir,RM 290,
John Day Pool Reservoir,RM 289,
John Day Pool Reservoir,RM 288,
John Day Pool Reservoir,RM 287,
John Day Pool Reservoir,RM 286,
John Day Pool Reservoir,RM 285,
John Day Pool Reservoir,RM 284,
John Day Pool Reservoir,RM 283,
John Day Pool Reservoir,RM 282,
John Day Pool Reservoir,RM 281,
John Day Pool Reservoir,RM 280,
John Day Pool Reservoir,RM 279,
John Day Pool Reservoir,RM 278,
John Day Pool Reservoir,RM 277,
John Day Pool Reservoir,RM 276,
John Day Pool Reservoir,RM 275,
John Day Pool Reservoir,RM 274,
John Day Pool Reservoir,RM 273,
John Day Pool Reservoir,RM 272,
John Day Pool Reservoir,RM 271,
John Day Pool Reservoir,RM 270,
John Day Pool Reservoir,RM 269,
John Day Pool Reservoir,RM 268,
John Day Pool Reservoir,RM 267,
John Day Pool Reservoir,RM 266,
John Day Pool Reservoir,RM 265,
John Day Pool Reservoir,RM 264,
John Day Pool Reservoir,RM 263,
John Day Pool Reservoir,RM 262,
John Day Pool Reservoir,RM 261,
John Day Pool Reservoir,RM 260,
John Day Pool Reservoir,"Glade Creek, WA",
John Day Pool Reservoir,"Rock Creek Ramp, WA",
John Day Pool Reservoir,"Morrow Pump Station, OR",
John Day Pool Reservoir,"McNary Lock, WA",
John Day Pool Reservoir,"Tunnel Pt., WA",
John Day Pool Reservoir,"Paradise Park , WA",
John Day Pool Reservoir,"Channel Marker 67, WA",
John Day Pool Reservoir,"Crow Butte Pump, WA",
John Day Pool Reservoir,"Crow Butte Slough, WA",
John Day Pool Reservoir,"Crow Butte Park, WA",
John Day Pool Reservoir,"Powerline Point, OR",
John Day Pool Reservoir,"Umatilla River Mouth, OR",
John Day Pool Reservoir,"Umatilla Pump Station, OR",
John Day Pool Reservoir,"Irrigon Hatchery, OR",
John Day Pool Reservoir,"Paterson Ferry Ramp, OR",
John Day Pool Reservoir,"Elevator Beach, OR",
John Day Pool Reservoir,"Sailboard Beach, OR",
John Day Pool Reservoir,"Boardman Park, OR",
John Day Pool Reservoir,markers 41-45,
John Day Pool Reservoir,Irrigon - Patterson,
John Day Pool Reservoir,"1st St, Irrigon marina, OR",
John Day Pool Reservoir,pump station - Irrigon,
John Day Pool Reservoir,marker 73 - pump station,
John Day Pool Reservoir,I-82 - marker 73,
John Day Pool Reservoir,"McNary Lock to Tunnel Pt, WA",
John Day Pool Reservoir,"McNary Park & Tower, OR",
John Day Pool Reservoir,"Umatilla Ramp, OR",
John Day Pool Reservoir,"Plymouth, WA",
John Day Pool Reservoir,"Irrigon marina, OR",
John Day Pool Reservoir,"Paterson, WA",
John Day Pool Reservoir,"Threemile Canyon, OR",
John Day Pool Reservoir,"Roosevelt, WA",
